id,primary_light,primary_dark,secondary,logo_url,created_at,updated_at,heading_font,body_font,border_radius,org_slug,org_display_name,button_color
496bc593-85ab-483f-a589-b3eae946db10,136 76% 42%,104 78% 67%,142 35% 20%,,2026-03-26 21:36:03.428684+00,2026-03-26 21:36:03.428684+00,Inter,Inter,0,peninsula-clean-energy,Peninsula Clean Energy,136 76% 42%
82c8156c-b245-4b81-9dea-a4b90949a4a7,200 84% 42%,200 84% 42%,43 98% 52%,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/pacific-gas-electric/logo.png?t=1773971246650,2026-03-20 01:13:24.442307+00,2026-03-20 01:48:50.046841+00,Raleway,Open Sans,0.2,pacific-gas-electric,Pacific Gas & Electric,136 76% 42%
8a49b0c4-c706-4a96-b2b9-3ddc98b83110,214 54% 49%,46 99% 63%,46 99% 63%,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/southern-california-edison/logo.svg?t=1773971426602,2026-03-20 01:13:24.442307+00,2026-03-23 15:49:08.689094+00,Barlow,Work Sans,0.15,southern-california-edison,Southern California Edison,136 76% 42%
ba8758ab-066b-4ced-980b-3eff4d86f6ee,224 47% 43%,204 70% 50%,204 70% 50%,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/con-edison/logo.png?t=1775856093117,2026-02-13 13:33:25.141689+00,2026-04-10 23:18:21.582946+00,Montserrat,Roboto,1.5,con-edison,Con Edison,136 76% 42%
c4d5f665-bdd1-4b14-b861-e52f8b5d518a,356 85% 44%,355 86% 46%,0 0% 31%,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/xcel/logo.svg?t=1774047193615,2026-03-20 22:52:45.013821+00,2026-03-20 22:54:24.224719+00,Inter,Roboto,0,xcel,Xcel,136 76% 42%
d006386d-6081-4682-9649-f3e82791d5ce,212 80% 42%,212 80% 42%,93 56% 40%,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/consumers-energy/logo.png?t=1775863157011,2026-04-10 23:19:07.978564+00,2026-04-11 00:02:40.014686+00,Montserrat,Montserrat,0,consumers-energy,Consumers Energy,134 70% 30%
d85b363b-ca94-47fb-9eb1-36a4f1e46097,136 76% 42%,104 78% 67%,142 35% 20%,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/everyday-electric/logo.svg?t=1773970977580,2026-03-20 01:25:37.021224+00,2026-03-25 20:55:44.128218+00,Montserrat,Inter,1.2,everyday-electric,Everyday Electric,136 76% 42%
